title,publish_time,authors
The effect of infection order of porcine circovirus type 2 and porcine reproductive and respiratory syndrome virus on dually infected swine alveolar macrophages,2012-09-25,"Tsai, Yi-Chieh; Chang, Hui-Wen; Jeng, Chian-Ren; Lin, Tsang-Long; Lin, Chun-Ming; Wan, Cho-Hua; Pang, Victor Fei"
Analysis of the humoral immune responses among cynomolgus macaque naturally infected with Reston virus during the 1996 outbreak in the Philippines,2012-10-11,"Taniguchi, Satoshi; Sayama, Yusuke; Nagata, Noriyo; Ikegami, Tetsuro; Miranda, Mary E; Watanabe, Shumpei; Iizuka, Itoe; Fukushi, Shuetsu; Mizutani, Tetsuya; Ishii, Yoshiyuki; Saijo, Masayuki; Akashi, Hiroomi; Yoshikawa, Yasuhiro; Kyuwa, Shigeru; Morikawa, Shigeru"
Secondary Syphilis with Pleural Effusion: Case Report and Literature Review,2012-12-13,"Elzouki, Abdel-Naser; Al-Kawaaz, Mustafa; Tafesh, Zaid"
Phylodynamic Inference and Model Assessment with Approximate Bayesian Computation: Influenza as a Case Study,2012-12-27,"Ratmann, Oliver; Donker, Gé; Meijer, Adam; Fraser, Christophe; Koelle, Katia"
Virus-induced ER stress and the unfolded protein response,2012-12-28,"Zhang, Lingrui; Wang, Aiming"
The evolutionary significance of depression in Pathogen Host Defense (PATHOS-D),2012-01-31,"Raison, C L; Miller, A H"
First Discovery and Stucture-Activity Relationship Study of Phenanthroquinolizidines as Novel Antiviral Agents against Tobacco Mosaic Virus (TMV),2012-12-28,"Wang, Ziwen; Feng, Anzheng; Cui, Mingbo; Liu, Yuxiu; Wang, Lizhong; Wang, Qingmin"
Anti-inflammatory activity of cinnamon water extract in vivo and in vitro LPS-induced models,2012-11-28,"Hong, Joung-Woo; Yang, Ga-Eun; Kim, Yoon Bum; Eom, Seok Hyun; Lew, Jae-Hwan; Kang, Hee"
Effectiveness of Integrated HIV Prevention Interventions among Chinese Men Who Have Sex with Men: Evaluation of a 16-City Public Health Program,2012-12-31,"Ye, Shaodong; Xiao, Yan; Jin, Canrui; Cassell, Holly; Blevins, Meridith; Sun, Jiangping; Vermund, Sten H.; Qian, Han-Zhu"
Detection rate and clinical impact of respiratory viruses in children with Kawasaki disease,2012-12-20,"Kim, Ja Hye; Yu, Jeong Jin; Lee, Jina; Kim, Mi-Na; Ko, Hong Ki; Choi, Hyung Soon; Kim, Young-Hwue; Ko, Jae-Kon"
Anti-HBV efficacy of combined siRNAs targeting viral gene and heat shock cognate 70,2012-11-16,"Bian, Zhongqi; Xiao, An; Cao, Mingmei; Liu, Mingqiu; Liu, Shuang; Jiao, Ye; Yan, Weiyao; Qi, Zhongtian; Zheng, Zhaoxin"
Epidemiological Characteristics of Imported Influenza A (H1N1) Cases during the 2009 Pandemic in Korea,2012-12-31,"Choi, Jun Kil; Lee, Sang Won; Choi, Bo Youl"
Virus nomenclature below the species level: a standardized nomenclature for natural variants of viruses assigned to the family Filoviridae,2012-09-23,"Kuhn, Jens H.; Bao, Yiming; Bavari, Sina; Becker, Stephan; Bradfute, Steven; Brister, J. Rodney; Bukreyev, Alexander A.; Chandran, Kartik; Davey, Robert A.; Dolnik, Olga; Dye, John M.; Enterlein, Sven; Hensley, Lisa E.; Honko, Anna N.; Jahrling, Peter B.; Johnson, Karl M.; Kobinger, Gary; Leroy, Eric M.; Lever, Mark S.; Mühlberger, Elke; Netesov, Sergey V.; Olinger, Gene G.; Palacios, Gustavo; Patterson, Jean L.; Paweska, Janusz T.; Pitt, Louise; Radoshitzky, Sheli R.; Saphire, Erica Ollmann; Smither, Sophie J.; Swanepoel, Robert; Towner, Jonathan S.; van der Groen, Guido; Volchkov, Viktor E.; Wahl-Jensen, Victoria; Warren, Travis K.; Weidmann, Manfred; Nichol, Stuart T."
The 19 kDa Mycobacterium tuberculosis Lipoprotein (LpqH) Induces Macrophage Apoptosis through Extrinsic and Intrinsic Pathways: A Role for the Mitochondrial Apoptosis-Inducing Factor,2012-12-19,"Sánchez, Alejandro; Espinosa, Patricia; García, Teresa; Mancilla, Raúl"
A novel strategy for efficient production of anti-V3 human scFvs against HIV-1 clade C,2012-11-15,"Kumar, Rajesh; Andrabi, Raiees; Tiwari, Ashutosh; Prakash, Somi Sankaran; Wig, Naveet; Dutta, Durgashree; Sankhyan, Anurag; Khan, Lubina; Sinha, Subrata; Luthra, Kalpana"
Stimulation with a class A CpG oligonucleotide enhances resistance to infection with feline viruses from five different families,2012-08-20,"Robert-Tissot, Céline; Rüegger, Vera L; Cattori, Valentino; Meli, Marina L; Riond, Barbara; Moore, Peter F; Engels, Monika; Franchini, Marco; Hofmann-Lehmann, Regina; Lutz, Hans"
Lycorine induces cell-cycle arrest in the G0/G1 phase in K562 cells via HDAC inhibition,2012-11-23,"Li, Lv; Dai, Hong-Juan; Ye, Mao; Wang, Shu-Ling; Xiao, Xiao-Juan; Zheng, Jie; Chen, Hui-Yong; Luo, Yu-hao; Liu, Jing"
Low Levels of Mannan-Binding Lectin or Ficolins Are Not Associated with an Increased Risk of Cytomegalovirus Disease in HIV-Infected Patients,2013-01-04,"Egli, Adrian; Schäfer, Juliane; Osthoff, Michael; Thiel, Steffen; Mikkelsen, Christina; Rauch, Andri; Hirsch, Hans H.; Bucher, Heiner C.; Young, James; Jensenius, Jens C.; Battegay, Manuel; Trendelenburg, Marten"
"Household transmission of respiratory viruses – assessment of viral, individual and household characteristics in a population study of healthy Australian adults",2012-12-11,"McCaw, James M; Howard, Peter F; Richmond, Peter C; Nissen, Michael; Sloots, Theo; Lambert, Stephen B; Lai, Michael; Greenberg, Michael; Nolan, Terry; McVernon, Jodie"
Viral etiologies of lower respiratory tract infections among Egyptian children under five years of age,2012-12-13,"Shafik, Caroline F; Mohareb, Emad W; Yassin, Aymen S; Amin, Madgy A; El Kholy, Amani; El-Karaksy, Hanaa; Youssef, Fouad G"
Purification and Characterisation of Immunoglobulins from the Australian Black Flying Fox (Pteropus alecto) Using Anti-Fab Affinity Chromatography Reveals the Low Abundance of IgA,2013-01-07,"Wynne, James W.; Di Rubbo, Antonio; Shiell, Brian J.; Beddome, Gary; Cowled, Christopher; Peck, Grantley R.; Huang, Jing; Grimley, Samantha L.; Baker, Michelle L.; Michalski, Wojtek P."
Inhibitory Influence of Enterococcus faecium on the Propagation of Swine Influenza A Virus In Vitro,2013-01-07,"Wang, Zhenya; Chai, Weidong; Burwinkel, Michael; Twardziok, Sven; Wrede, Paul; Palissa, Christiane; Esch, Bettina; Schmidt, Michael F. G."
The Role of Viral Population Diversity in Adaptation of Bovine Coronavirus to New Host Environments,2013-01-07,"Borucki, Monica K.; Allen, Jonathan E.; Chen-Harris, Haiyin; Zemla, Adam; Vanier, Gilda; Mabery, Shalini; Torres, Clinton; Hullinger, Pamela; Slezak, Tom"
Strategies for intranasal delivery of vaccines,2012-07-12,"Zaman, Mehfuz; Chandrudu, Saranya; Toth, Istvan"
Influenza virus and cell signaling pathways,2011-06-01,"Gaur, Pratibha; Munjal, Ashok; Lal, Sunil K."
"Publications in ISI-indexed public health journals from mainland China, Hong Kong and Taiwan during 1999–2008",2011-07-01,"Zheng, Mei-Ling; Yang, Li-Li; Shu, Qiang; Shen, Yi"
Predictors of symptoms of posttraumatic stress in Chinese university students during the 2009 H1N1 influenza pandemic,2011-07-01,"Xu, Jiahong; Zheng, Yayuan; Wang, Mingmin; Zhao, Jiangmin; Zhan, Qing; Fu, Mingxu; Wang, Qianyi; Xiao, Junjie; Cheng, Yan"
The “sweet” side of a long pentraxin: how glycosylation affects PTX3 functions in innate immunity and inflammation,2013-01-07,"Inforzato, Antonio; Reading, Patrick C.; Barbati, Elisa; Bottazzi, Barbara; Garlanda, Cecilia; Mantovani, Alberto"
Natural killer cells act as rheostats modulating anti-viral T cells,2011-11-20,"Waggoner, Stephen N.; Cornberg, Markus; Selin, Liisa K.; Welsh, Raymond M."
A Critical HA1 Neutralizing Domain of H5N1 Influenza in an Optimal Conformation Induces Strong Cross-Protection,2013-01-08,"Du, Lanying; Zhao, Guangyu; Sun, Shihui; Zhang, Xiujuan; Zhou, Xiaojun; Guo, Yan; Li, Ye; Zhou, Yusen; Jiang, Shibo"
Activation of the Cellular Unfolded Protein Response by Recombinant Adeno-Associated Virus Vectors,2013-01-08,"Balakrishnan, Balaji; Sen, Dwaipayan; Hareendran, Sangeetha; Roshini, Vaani; David, Sachin; Srivastava, Alok; Jayandharan, Giridhara R."
Targeting Herpetic Keratitis by Gene Therapy,2012-12-26,"Elbadawy, Hossein Mostafa; Gailledrat, Marine; Desseaux, Carole; Ponzin, Diego; Ferrari, Stefano"
"Schmallenberg Virus Pathogenesis, Tropism and Interaction with the Innate Immune System of the Host",2013-01-10,"Varela, Mariana; Schnettler, Esther; Caporale, Marco; Murgia, Claudio; Barry, Gerald; McFarlane, Melanie; McGregor, Eva; Piras, Ilaria M.; Shaw, Andrew; Lamm, Catherine; Janowicz, Anna; Beer, Martin; Glass, Mandy; Herder, Vanessa; Hahn, Kerstin; Baumgärtner, Wolfgang; Kohl, Alain; Palmarini, Massimo"
Viral and Bacterial Interactions in the Upper Respiratory Tract,2013-01-10,"Bosch, Astrid A. T. M.; Biesbroek, Giske; Trzcinski, Krzysztof; Sanders, Elisabeth A. M.; Bogaert, Debby"
A Monoclonal Antibody-Based Copro-ELISA Kit for Canine Echinococcosis to Support the PAHO Effort for Hydatid Disease Control in South America,2013-01-10,"Morel, Noelia; Lassabe, Gabriel; Elola, Susana; Bondad, Mauricio; Herrera, Silvia; Marí, Carlos; Last, Jerold A.; Jensen, Oscar; Gonzalez-Sapienza, Gualberto"
Early diagnosis of radiodermatitis using lactate dehydrogenase isozymes in hairless mice (SKH1-hr),2012-12-26,"Cho, Sung-Kyu; Kim, Won-Dong"
Co-circulation of diverse paramyxoviruses in an urban African fruit bat population,2012-04-10,"Baker, K. S.; Todd, S.; Marsh, G.; Fernandez-Loras, A.; Suu-Ire, R.; Wood, J. L. N.; Wang, L. F.; Murcia, P. R.; Cunningham, A. A."
ISG56/IFIT1 is primarily responsible for interferon-induced changes to patterns of parainfluenza virus type 5 transcription and protein synthesis,2013-01-10,"Andrejeva, J.; Norsted, H.; Habjan, M.; Thiel, V.; Goodbourn, S.; Randall, R. E."
Pre-existing immunity against vaccine vectors – friend or foe?,2013-01-10,"Saxena, Manvendra; Van, Thi Thu Hao; Baird, Fiona J.; Coloe, Peter J.; Smooker, Peter M."
Non-canonical translation in RNA viruses,2012-07-10,"Firth, Andrew E.; Brierley, Ian"
"Evaluation of the tuberculosis programme in Ningxia Hui Autonomous region, the People’s Republic of China: a retrospective case study",2012-12-23,"Yang, Yu Rong; McManus, Donald P; Gray, Darren J; Wang, Xiao Ling; Yang, Shu Kun; Ross, Allen G; Williams, Gail M; Ellis, Magda K"
"Treatment of Common Cold Patients with the Shi-Cha Capsule: A Multicenter, Double-Blind, Randomized, Placebo-Controlled, Dose-Escalation Trial",2012-12-27,"Chang, Jing; Dong, Shou-Jin; She, Bin; Zhang, Rui-Ming; Meng, Mao-Bin; Xu, Yan-Ling; Wan, Li-Ling; Shi, Ke-Hua; Pan, Jun-Hun; Mao, Bing"
Teacher led school-based surveillance can allow accurate tracking of emerging infectious diseases - evidence from serial cross-sectional surveys of febrile respiratory illness during the H1N1 2009 influenza pandemic in Singapore,2012-12-04,"Chen, Mark IC; Chong, Chia Yin"
"Acute care utilization due to hospitalizations for pediatric lower respiratory tract infections in British Columbia, Canada",2012-12-08,"Santibanez, Pablo; Gooch, Katherine; Vo, Pamela; Lorimer, Michelle; Sandino, Yurik"
Comparison of the geographical distribution of feline immunodeficiency virus and feline leukemia virus infections in the United States of America (2000–2011),2013-01-05,"Chhetri, Bimal K; Berke, Olaf; Pearl, David L; Bienzle, Dorothee"
Mutations in the Fusion Protein Cleavage Site of Avian Paramyxovirus Serotype 4 Confer Increased Replication and Syncytium Formation In Vitro but Not Increased Replication and Pathogenicity in Chickens and Ducks,2013-01-14,"Kim, Shin-Hee; Xiao, Sa; Shive, Heather; Collins, Peter L.; Samal, Siba K."
"Initial Antihypertensive Prescription and Switching: A 5 Year Cohort Study from 250,851 Patients",2013-01-14,"Wong, Martin C. S.; Tam, Wilson W. S.; Cheung, Clement S. K.; Tong, Ellen L. H.; Sek, Antonio C. H.; John, George; Cheung, N. T.; Yan, Bryan P. Y.; Yu, C. M.; Leeder, Stephen; Griffiths, Sian"
Visitor behaviour and public health implications associated with exotic pet markets: an observational study,2012-09-20,"Warwick, Clifford; Arena, Phillip C; Steedman, Catrina"
Enhanced CD8 T-cell anti-viral function and clinical disease in B7-H1-deficient mice requires CD4 T cells during encephalomyelitis,2012-12-14,"Phares, Timothy W; Stohlman, Stephen A; Hinton, David R; Bergmann, Cornelia C"
Respiratory Viral Infections after Hematopoietic Stem Cell Transplantation in Children,2013-01-08,"Choi, Jae Hong; Choi, Eun Hwa; Kang, Hyoung Jin; Park, Kyung Duk; Park, Sung Sup; Shin, Hee Young; Lee, Hoan Jong; Ahn, Hyo Seop"
The New Age of Virus Discovery: Genomic Analysis of a Novel Human Betacoronavirus Isolated from a Fatal Case of Pneumonia,2013-01-08,"Holmes, Kathryn V.; Dominguez, Samuel R."
Observational Research in Childhood Infectious Diseases (ORChID): a dynamic birth cohort study,2012-10-31,"Lambert, Stephen Bernard; Ware, Robert S; Cook, Anne L; Maguire, Frances A; Whiley, David M; Bialasiewicz, Seweryn; Mackay, Ian M; Wang, David; Sloots, Theo P; Nissen, Michael D; Grimwood, Keith"
Identification of a novel Getah virus by Virus-Discovery-cDNA random amplified polymorphic DNA (RAPD),2012-12-27,"Hu, Tingsong; Zheng, Ying; Zhang, Yan; Li, Gangshan; Qiu, Wei; Yu, Jing; Cui, Qinghua; Wang, Yiyin; Zhang, Chaoxiong; Zhou, Xiaofang; Feng, Ziliang; Zhou, Weiguo; Fan, Quanshui; Zhang, Fuqiang"
Anti-rotaviral effects of Glycyrrhiza uralensis extract in piglets with rotavirus diarrhea,2012-12-18,"Alfajaro, Mia Madel; Kim, Hyun-Jeong; Park, Jun-Gyu; Ryu, Eun-Hye; Kim, Ji-Yun; Jeong, Young-Ju; Kim, Deok-Song; Hosmillo, Myra; Son, Kyu-Yeol; Lee, Ju-Hwan; Kwon, Hyung-Jun; Ryu, Young Bae; Park, Su-Jin; Park, Sang-Ik; Lee, Woo Song; Cho, Kyoung-Oh"
The Immunosuppressive Agent Mizoribine Monophosphate Is an Inhibitor of the Human RNA Capping Enzyme,2013-01-17,"Picard-Jean, Frédéric; Bougie, Isabelle; Shuto, Satoshi; Bisaillon, Martin"
Automated degenerate PCR primer design for high-throughput sequencing improves efficiency of viral sequencing,2012-11-06,"Li, Kelvin; Shrivastava, Susmita; Brownley, Anushka; Katzel, Dan; Bera, Jayati; Nguyen, Anh Thu; Thovarai, Vishal; Halpin, Rebecca; Stockwell, Timothy B"
Debate around infection-dependent hemophagocytic syndrome in paediatrics,2013-01-16,"Ansuini, Valentina; Rigante, Donato; Esposito, Susanna"
Association of Human bocavirus with Respiratory Infections in Outpatients and in Patients Attended at a Reference Hospital,2011-07-15,"Pedrosa-Corral, Irene; Pérez-Ruiz, Mercedes; Navarro-Marí, José-María; Ruiz-Bravo, Alfonso"
Cloning and Sequence Analysis of N Gene of Transmissible Gastroenteritis Virus HYM-09 Isolated from Dog in China,2012-08-14,"Man, Chaolai; Yu, Xiaolong"
Human Coronavirus EMC Is Not the Same as Severe Acute Respiratory Syndrome Coronavirus,2013-01-15,"Perlman, Stanley; Zhao, Jincun"
HIV-1 Fusion Is Blocked through Binding of GB Virus C E2D Peptides to the HIV-1 gp41 Disulfide Loop,2013-01-22,"Eissmann, Kristin; Mueller, Sebastian; Sticht, Heinrich; Jung, Susan; Zou, Peng; Jiang, Shibo; Gross, Andrea; Eichler, Jutta; Fleckenstein, Bernhard; Reil, Heide"
Chemokine CXCL14 is associated with prognosis in patients with colorectal carcinoma after curative resection,2013-01-07,"Zeng, Jun; Yang, Xudan; Cheng, Lin; Liu, Rui; Lei, Yunlong; Dong, Dandan; Li, Fanghua; Lau, Quek Choon; Deng, Longfei; Nice, Edouard C; Xie, Ke; Huang, Canhua"
Loss of the abundant nuclear non-coding RNA MALAT1 is compatible with life and development,2012-08-01,"Eißmann, Moritz; Gutschner, Tony; Hämmerle, Monika; Günther, Stefan; Caudron-Herger, Maïwen; Groß, Matthias; Schirmacher, Peter; Rippe, Karsten; Braun, Thomas; Diederichs, Sven; Zörnig, Martin"
Proteasome inhibition in cancer is associated with enhanced tumor targeting by the adeno‐associated virus/phage,2012-08-21,"Przystal, Justyna M.; Umukoro, Eloho; Stoneham, Charlotte A.; Yata, Teerapong; O'Neill, Kevin; Syed, Nelofer; Hajitou, Amin"
"C-reactive protein, haptoglobin, serum amyloid A and pig major acute phase protein response in pigs simultaneously infected with H1N1 swine influenza virus and Pasteurella multocida",2013-01-18,"Pomorska-Mól, Małgorzata; Markowska-Daniel, Iwona; Kwit, Krzysztof; Stępniewska, Katarzyna; Pejsak, Zygmunt"
Positional Bias of MHC Class I Restricted T-Cell Epitopes in Viral Antigens Is Likely due to a Bias in Conservation,2013-01-24,"Kim, Yohan; Yewdell, Jonathan W.; Sette, Alessandro; Peters, Bjoern"
IFITM Proteins Restrict Viral Membrane Hemifusion,2013-01-24,"Li, Kun; Markosyan, Ruben M.; Zheng, Yi-Min; Golfetto, Ottavia; Bungart, Brittani; Li, Minghua; Ding, Shilei; He, Yuxian; Liang, Chen; Lee, James C.; Gratton, Enrico; Cohen, Fredric S.; Liu, Shan-Lu"
Aerobiology and Its Role in the Transmission of Infectious Diseases,2013-01-13,"Fernstrom, Aaron; Goldblatt, Michael"
Coronavirus infections in hospitalized pediatric patients with acute respiratory tract disease,2012-12-20,"Jevšnik, Monika; Uršič, Tina; Žigon, Nina; Lusa, Lara; Krivec, Uroš; Petrovec, Miroslav"
"Virulent Avian Infectious Bronchitis Virus, People’s Republic of China",2012-12-10,"Feng, Jinling; Hu, Yanxin; Ma, Zhijun; Yu, Qi; Zhao, Jixun; Liu, Xiaodong; Zhang, Guozhong"
Mekong Basin Disease Surveillance (MBDS): A Trust-Based Network,2013-01-25,"Phommasack, Bounlay; Jiraphongsa, Chuleeporn; Ko Oo, Moe; Bond, Katherine C.; Phaholyothin, Natalie; Suphanchaimat, Rapeepong; Ungchusak, Kumnuan; Macfarlane, Sarah B."
Enhanced Surveillance for Detection and Management of Infectious Diseases: Regional Collaboration in the Middle East,2013-01-25,"Leventhal, Alex; Ramlawi, Assad; Belbiesi, Adel; Sheikh, Sami; Haddadin, Akhtam; Husseini, Sari; Abdeen, Ziad; Cohen, Dani"
Key Findings and Lessons from an Evaluation of the Rockefeller Foundation's Disease Surveillance Networks Initiative,2013-01-25,"MacPherson, Nancy; Kimball, Ann Marie; Burke, Charlanne; Abernethy, Neil; Tempongko, Sandra; Zinsstag, Jakob"
Development of an improved polykaryon-based influenza virus rescue system,2012-09-25,"Bourret, Vincent; Lyall, Jon; Ducatez, Mariette F; Guérin, Jean-Luc; Tiley, Laurence"
"Lessons from the History of Quarantine, from Plague to Influenza A",2013-02-10,"Tognotti, Eugenia"
"Nipah Virus Infection Outbreak with Nosocomial and Corpse-to-Human Transmission, Bangladesh",2013-02-10,"Sazzad, Hossain M.S.; Hossain, M. Jahangir; Gurley, Emily S.; Ameen, Kazi M.H.; Parveen, Shahana; Islam, M. Saiful; Faruque, Labib I.; Podder, Goutam; Banu, Sultana S.; Lo, Michael K.; Rollin, Pierre E.; Rota, Paul A.; Daszak, Peter; Rahman, Mahmudur; Luby, Stephen P."
"Fatal Respiratory Infections Associated with Rhinovirus Outbreak, Vietnam",2012-11-10,"Hai, Le Thanh; Bich, Vu Thi Ngoc; Ngai, Le Kien; Diep, Nguyen Thi Ngoc; Phuc, Phan Huu; Hung, Viet Pham; Taylor, Walter R.; Horby, Peter; Liem, Nguyen Thanh; Wertheim, Heiman F.L."
"Integrating Genome-based Informatics to Modernize Global Disease Monitoring, Information Sharing, and Response",2012-11-10,"Aarestrup, Frank M.; Brown, Eric W.; Detter, Chris; Gerner-Smidt, Peter; Gilmour, Matthew W.; Harmsen, Dag; Hendriksen, Rene S.; Hewson, Roger; Heymann, David L.; Johansson, Karin; Ijaz, Kashef; Keim, Paul S.; Koopmans, Marion; Kroneman, Annelies; Wong, Danilo Lo Fo; Lund, Ole; Palm, Daniel; Sawanpanyalert, Pathom; Sobel, Jeremy; Schlundt, Jørgen"
Detection of Bocavirus in Children Suffering from Acute Respiratory Tract Infections in Saudi Arabia,2013-01-30,"Abdel-Moneim, Ahmed S.; Kamel, Mahmoud M.; Al-Ghamdi, Abdullhamid S.; Al-Malky, Mater I. R."
Quantitative analysis of Glycyrrhizic acid from a polyherbal preparation using liquid chromatographic technique,2012,"De, Amit K.; Datta, Sriparna; Mukherjee, Arup"
Porcine epidemic diarrhea virus E protein causes endoplasmic reticulum stress and up-regulates interleukin-8 expression,2013-01-19,"Xu, Xingang; Zhang, Honglei; Zhang, Qi; Dong, Jie; Liang, Yabing; Huang, Yong; Liu, Hung-Jen; Tong, Dewen"
Epidemiology and clinical presentation of the four human parainfluenza virus types,2013-01-23,"Liu, Wen-Kuan; Liu, Qian; Chen, De-Hui; Liang, Huan-Xi; Chen, Xiao-Kai; Huang, Wen-Bo; Qin, Sheng; Yang, Zi-Feng; Zhou, Rong"
Inflammatory monocytes and the pathogenesis of viral encephalitis,2012-12-17,"Terry, Rachael L; Getts, Daniel R; Deffrasnes, Celine; van Vreden, Caryn; Campbell, Iain L; King, Nicholas JC"
Unraveling the Structure of Viral Replication Complexes at Super-Resolution,2013-01-31,"Linnik, Olga; Liesche, Johannes; Tilsner, Jens; Oparka, Karl J."
Quantifying Pathogen Surveillance Using Temporal Genomic Data,2013-01-29,"Chan, Joseph M.; Rabadan, Raul"
Next-Generation Sequencing of Small RNAs from HIV-Infected Cells Identifies Phased microRNA Expression Patterns and Candidate Novel microRNAs Differentially Expressed upon Infection,2013-02-05,"Chang, Stewart T.; Thomas, Matthew J.; Sova, Pavel; Green, Richard R.; Palermo, Robert E.; Katze, Michael G."
"Influenza vaccines and vaccinations in Poland – past, present and future",2012-11-01,"Brydak, Lidia B.; Kosek, Agnieszka WoŸniak; Nitsch-Osuch, Aneta"
Binding of HIV-1 gp120 to DC-SIGN Promotes ASK-1-Dependent Activation-Induced Apoptosis of Human Dendritic Cells,2013-01-31,"Chen, Yongxiong; Hwang, Shiuh-Lin; Chan, Vera S. F.; Chung, Nancy P. Y.; Wang, Shu-Rong; Li, Zhongye; Ma, Jing; Lin, Chia-Wei; Hsieh, Ya-Ju; Chang, Kao-Ping; Kung, Sui-Sum; Wu, Yi-Chia; Chu, Cheng-Wei; Tai, Hsiao-Ting; Gao, George F.; Zheng, Bojian; Yokoyama, Kazunari K.; Austyn, Jonathan M.; Lin, Chen-Lung S."
Differential Response of Primary Alveolar Type I and Type II Cells to LPS Stimulation,2013-01-31,"Wong, Mandi H.; Johnson, Meshell D."
An Upstream Open Reading Frame Modulates Ebola Virus Polymerase Translation and Virus Replication,2013-01-31,"Shabman, Reed S.; Hoenen, Thomas; Groseth, Allison; Jabado, Omar; Binning, Jennifer M.; Amarasinghe, Gaya K.; Feldmann, Heinz; Basler, Christopher F."
Highly similar structural frames link the template tunnel and NTP entry tunnel to the exterior surface in RNA-dependent RNA polymerases,2012-12-25,"Lang, Dorothy M.; Zemla, A. T.; Zhou, C. L. Ecale"
HIV-1 frameshift efficiency is primarily determined by the stability of base pairs positioned at the mRNA entrance channel of the ribosome,2012-12-15,"Mouzakis, Kathryn D.; Lang, Andrew L.; Vander Meulen, Kirk A.; Easterday, Preston D.; Butcher, Samuel E."
Quantitative analysis of ciliary beating in primary ciliary dyskinesia: a pilot study,2012-10-11,"Papon, Jean-François; Bassinet, Laurence; Cariou-Patron, Gwenaëlle; Zerah-Lancner, Francoise; Vojtek, Anne-Marie; Blanchon, Sylvain; Crestani, Bruno; Amselem, Serge; Coste, Andre; Housset, Bruno; Escudier, Estelle; Louis, Bruno"
Inhibitors of the Influenza A Virus M2 Proton Channel Discovered Using a High-Throughput Yeast Growth Restoration Assay,2013-02-01,"Balgi, Aruna D.; Wang, Jun; Cheng, Daphne Y. H.; Ma, Chunlong; Pfeifer, Tom A.; Shimizu, Yoko; Anderson, Hilary J.; Pinto, Lawrence H.; Lamb, Robert A.; DeGrado, William F.; Roberge, Michel"
One step closer to an experimental infection system for Hepatitis B Virus? --- the identification of sodium taurocholate cotransporting peptide as a viral receptor,2013-01-11,"Chen, Pei-Jer; Wu, T-C"
Interferon-induced transmembrane protein-3 genetic variant rs12252-C is associated with severe influenza in Chinese individuals,2013-01-29,"Zhang, Yong-Hong; Zhao, Yan; Li, Ning; Peng, Yan-Chun; Giannoulatou, Eleni; Jin, Rong-Hua; Yan, Hui-Ping; Wu, Hao; Liu, Jin-Hua; Liu, Ning; Wang, Da-Yan; Shu, Yue-Long; Ho, Ling-Pei; Kellam, Paul; McMichael, Andrew; Dong, Tao"
Controlling epidemic spread by social distancing: Do it well or not at all,2012-08-20,"Maharaj, Savi; Kleczkowski, Adam"
Insights into the Roles of Cyclophilin A During Influenza Virus Infection,2013-01-15,"Liu, Xiaoling; Zhao, Zhendong; Liu, Wenjun"
Altering SARS Coronavirus Frameshift Efficiency Affects Genomic and Subgenomic RNA Production,2013-01-18,"Plant, Ewan P.; Sims, Amy C.; Baric, Ralph S.; Dinman, Jonathan D.; Taylor, Deborah R."
Influenza A Virus Entry Inhibitors Targeting the Hemagglutinin,2013-01-22,"Yang, Jie; Li, Minmin; Shen, Xintian; Liu, Shuwen"
Cystatins in Immune System,2012-12-20,"Magister, Špela; Kos, Janko"
Reconstitution of Membrane Proteins into Model Membranes: Seeking Better Ways to Retain Protein Activities,2013-01-14,"Shen, Hsin-Hui; Lithgow, Trevor; Martin, Lisandra L."
Generating super-shedders: co-infection increases bacterial load and egg production of a gastrointestinal helminth,2013-03-06,"Lass, Sandra; Hudson, Peter J.; Thakar, Juilee; Saric, Jasmina; Harvill, Eric; Albert, Réka; Perkins, Sarah E."
Inferring population-level contact heterogeneity from common epidemic data,2013-01-06,"Stack, J. Conrad; Bansal, Shweta; Kumar, V. S. Anil; Grenfell, Bryan"
Clinical development of monoclonal antibody-based drugs in HIV and HCV diseases,2013-01-04,"Flego, Michela; Ascione, Alessandro; Cianfriglia, Maurizio; Vella, Stefano"
An analysis of the health status of the United Arab Emirates: the ‘Big 4’ public health issues,2013-02-05,"Loney, Tom; Aw, Tar-Ching; Handysides, Daniel G.; Ali, Raghib; Blair, Iain; Grivna, Michal; Shah, Syed M.; Sheek-Hussein, Mohamud; El-Sadig, Mohamed; Sharif, Amer A.; El-Obaid, Yusra"
Vesicular stomatitis virus with the rabies virus glycoprotein directs retrograde transsynaptic transport among neurons in vivo,2013-02-07,"Beier, Kevin T.; Saunders, Arpiar B.; Oldenburg, Ian A.; Sabatini, Bernardo L.; Cepko, Constance L."
Isolation of a Novel Swine Influenza Virus from Oklahoma in 2011 Which Is Distantly Related to Human Influenza C Viruses,2013-02-07,"Hause, Ben M.; Ducatez, Mariette; Collin, Emily A.; Ran, Zhiguang; Liu, Runxia; Sheng, Zizhang; Armien, Anibal; Kaplan, Bryan; Chakravarty, Suvobrata; Hoppe, Adam D.; Webby, Richard J.; Simonson, Randy R.; Li, Feng"
Continuous intravenous anaesthesia with sufentanil and midazolam in medetomidine premedicated New Zealand White rabbits,2013-01-28,"Hedenqvist, Patricia; Edner, Anna; Fahlman, Åsa; Jensen-Waern, Marianne"
